Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1228,1,1,18,537,10,0.0107421875,-0.01318359375,0.982421875,-0.1220703125,0.06103515625,0.18310546875,-3.1667106227108377,-6.252454212454268,0.5937582417577119,1687593787.3915112
1229,1,1,18,547,10,0.00927734375,-0.00537109375,0.9775390625,0.0,0.0,0.0,-4.666100122100339,-4.753064713064759,-3.904410256410756,1687593787.393512
1230,1,1,18,557,10,0.001953125,-0.00927734375,0.9853515625,-0.30517578125,-0.18310546875,0.06103515625,5.829626373626155,-0.25489621489629144,-3.904410256410756,1687593787.4145129
1231,1,1,18,567,10,0.0068359375,-0.00830078125,0.97900390625,-0.244140625,-0.30517578125,0.0,5.829626373626155,-15.24879120879126,6.591316239315745,1687593787.4925127
1232,1,1,18,577,10,0.0078125,-0.0146484375,0.9814453125,0.0,-0.06103515625,-0.244140625,2.83084737484716,-15.24879120879126,3.5925372405367284,1687593787.4955118
1233,1,1,18,587,10,0.01171875,-0.0185546875,0.98974609375,-0.244140625,0.0,0.06103515625,-3.1667106227108377,-6.252454212454268,-5.403799755800264,1687593787.4975119
1234,1,1,18,597,10,-0.001953125,-0.00439453125,0.99462890625,-0.244140625,-0.18310546875,0.0,-4.666100122100339,-4.753064713064759,3.5925372405367284,1687593787.498512
1235,1,1,18,607,10,0.00732421875,-0.00048828125,0.98583984375,-0.06103515625,-0.06103515625,0.06103515625,13.326573870573654,2.743882783882725,6.591316239315745,1687593787.500512
1236,1,1,18,617,10,0.01123046875,-0.013671875,1.005859375,0.0,-0.06103515625,-0.244140625,-9.164268620268835,-7.751843711843776,-0.9056312576317396,1687593787.5015123
1237,1,1,18,627,10,0.00146484375,-0.01025390625,1.01123046875,0.1220703125,0.244140625,0.0,-1.6673211233213436,-4.753064713064759,-3.904410256410756,1687593787.502512
1238,1,1,18,637,10,0.0029296875,-0.01171875,1.00244140625,0.1220703125,0.244140625,-0.1220703125,4.330236874236661,-19.746959706959785,-8.402578754579281,1687593787.5035107
1239,1,1,18,647,10,0.0,-0.0068359375,1.009765625,0.244140625,0.54931640625,0.0,10.327794871794651,8.741440781440701,-2.405020757021248,1687593787.5045123
1240,1,1,18,657,10,0.00927734375,-0.0068359375,1.01220703125,0.06103515625,0.54931640625,-0.1220703125,-1.6673211233213436,-7.751843711843776,-3.904410256410756,1687593787.5055118
1241,1,1,18,667,10,-0.0078125,0.00146484375,1.013671875,0.18310546875,0.48828125,0.0,8.828405372405157,-4.753064713064759,12.588874236873721,1687593787.5155113
1242,1,1,18,677,10,0.00390625,-0.015625,1.015625,0.3662109375,0.48828125,0.0,4.330236874236661,14.738998778998734,-5.403799755800264,1687593787.516513
1243,1,1,18,687,10,0.0107421875,-0.01416015625,1.009765625,0.1220703125,0.42724609375,-0.06103515625,-4.666100122100339,-7.751843711843776,-6.903189255189773,1687593787.5335126
1244,1,1,18,697,10,0.0068359375,-0.01025390625,1.00732421875,0.1220703125,0.30517578125,-0.18310546875,-6.16548962148984,1.2444932844932168,8.090705738705196,1687593787.5475123
1245,1,1,18,707,10,0.0,-0.00830078125,1.0029296875,0.1220703125,0.18310546875,0.06103515625,-0.16793162393184247,14.738998778998734,0.5937582417577119,1687593787.548513
1246,1,1,18,717,10,0.01513671875,-0.01025390625,0.99755859375,0.0,0.1220703125,0.1220703125,-9.164268620268835,5.742661782661685,9.590095238094705,1687593787.5795264
1247,1,1,18,727,10,0.015625,-0.0107421875,0.9853515625,-0.1220703125,0.06103515625,0.06103515625,5.829626373626155,2.743882783882725,-0.9056312576317396,1687593787.581522
1248,1,1,18,737,10,0.01171875,-0.0185546875,0.9921875,0.06103515625,0.0,0.0,-9.164268620268835,-18.247570207570277,-6.903189255189773,1687593787.5825222
1249,1,1,18,747,10,0.0009765625,-0.01318359375,0.99755859375,-0.06103515625,-0.244140625,0.0,-1.6673211233213436,-15.24879120879126,-6.903189255189773,1687593787.600524
1250,1,1,18,757,10,0.0068359375,-0.00830078125,0.98974609375,-0.18310546875,-0.06103515625,0.0,-13.662437118437339,-6.252454212454268,0.5937582417577119,1687593787.6015224
1251,1,1,18,767,10,0.0068359375,-0.0029296875,0.98828125,-0.1220703125,-0.3662109375,-0.244140625,-1.6673211233213436,5.742661782661685,-6.903189255189773,1687593787.6145217
1252,1,1,18,777,10,0.0087890625,-0.01318359375,1.0107421875,-0.18310546875,-0.06103515625,-0.06103515625,7.329015873015656,1.2444932844932168,-2.405020757021248,1687593787.6239407
1253,1,1,18,787,10,0.00537109375,-0.01171875,1.00048828125,-0.06103515625,0.0,-0.06103515625,2.83084737484716,-10.750622710622793,-6.903189255189773,1687593787.6526716
1254,1,1,18,797,10,-0.001953125,-0.00537109375,1.00830078125,0.0,0.244140625,-0.1220703125,-4.666100122100339,2.743882783882725,-6.903189255189773,1687593787.6536958
1255,1,1,18,807,10,0.001953125,-0.00927734375,1.01220703125,0.0,0.18310546875,0.1220703125,-0.16793162393184247,-6.252454212454268,-5.403799755800264,1687593787.654671
1256,1,1,18,817,10,0.0009765625,-0.001953125,1.0078125,0.0,0.06103515625,0.0,-4.666100122100339,2.743882783882725,3.5925372405367284,1687593787.6616695
1257,1,1,18,827,10,-0.00048828125,-0.01806640625,1.01708984375,0.06103515625,0.42724609375,0.06103515625,5.829626373626155,-0.25489621489629144,6.591316239315745,1687593787.6901453
1258,1,1,18,837,10,0.00390625,-0.0107421875,1.02197265625,0.18310546875,0.6103515625,-0.06103515625,-13.662437118437339,4.243272283272233,-2.405020757021248,1687593787.6911733
1259,1,1,18,847,10,0.0107421875,-0.00244140625,1.01416015625,0.244140625,0.48828125,0.0,7.329015873015656,1.2444932844932168,-15.899526251526709,1687593787.704154
1260,1,1,18,857,10,-0.0048828125,-0.00390625,1.00537109375,0.18310546875,0.3662109375,0.0,14.825963369963155,4.243272283272233,0.5937582417577119,1687593787.7051532
1261,1,1,18,867,10,0.00146484375,-0.0048828125,1.00439453125,0.0,0.30517578125,-0.1220703125,7.329015873015656,1.2444932844932168,-12.900747252747806,1687593787.7171533
1262,1,1,18,877,10,0.0048828125,-0.01318359375,0.99462890625,0.1220703125,0.3662109375,0.1220703125,4.330236874236661,-1.7542857142857997,0.5937582417577119,1687593787.7341526
1263,1,1,18,887,10,0.0087890625,-0.01513671875,1.00732421875,0.18310546875,0.244140625,0.0,-4.666100122100339,13.239609279609226,3.5925372405367284,1687593787.735153
1264,1,1,18,897,10,0.0,-0.0048828125,1.01123046875,0.0,0.18310546875,0.0,-9.164268620268835,2.743882783882725,-0.9056312576317396,1687593787.7778869
1265,1,1,18,907,10,0.00927734375,-0.00732421875,0.9814453125,-0.18310546875,0.0,-0.1220703125,13.326573870573654,-15.24879120879126,3.5925372405367284,1687593787.7788887
1266,1,1,18,917,10,0.005859375,-0.01123046875,0.97900390625,0.06103515625,-0.1220703125,-0.1220703125,2.83084737484716,-7.751843711843776,3.5925372405367284,1687593787.7808878
1267,1,1,18,927,10,0.00927734375,-0.00146484375,0.99462890625,0.0,-0.06103515625,0.06103515625,-10.663658119658336,1.2444932844932168,8.090705738705196,1687593787.7818885
1268,1,1,18,937,10,0.009765625,-0.0126953125,0.97998046875,0.0,-0.18310546875,0.0,-13.662437118437339,-1.7542857142857997,5.091926739926237,1687593787.7828877
1269,1,1,18,947,10,0.00732421875,-0.01416015625,0.98876953125,-0.244140625,-0.18310546875,-0.06103515625,-3.1667106227108377,1.2444932844932168,0.5937582417577119,1687593787.8018885
1270,1,1,18,957,10,0.0068359375,-0.0087890625,0.97998046875,-0.1220703125,-0.30517578125,0.0,7.329015873015656,-1.7542857142857997,5.091926739926237,1687593787.802887
1271,1,1,18,967,10,0.0068359375,-0.0107421875,0.98974609375,-0.06103515625,-0.18310546875,-0.06103515625,8.828405372405157,-0.25489621489629144,-0.9056312576317396,1687593787.8248868
1272,1,1,18,977,10,0.0,-0.015625,0.9892578125,0.0,-0.06103515625,-0.1220703125,-4.666100122100339,-10.750622710622793,-3.904410256410756,1687593787.8258884
1273,1,1,18,987,10,0.0078125,-0.01220703125,0.98583984375,0.0,-0.06103515625,-0.244140625,19.324131868131644,2.743882783882725,-3.904410256410756,1687593787.8498871
1274,1,1,18,997,10,-0.00634765625,-0.005859375,1.00048828125,-0.06103515625,-0.06103515625,0.0,5.829626373626155,-0.25489621489629144,-3.904410256410756,1687593787.850888
1275,1,1,19,7,10,-0.00537109375,0.00146484375,1.01123046875,-0.06103515625,0.1220703125,-0.06103515625,13.326573870573654,2.743882783882725,3.5925372405367284,1687593787.8618884
1276,1,1,19,17,10,0.001953125,-0.00927734375,0.998046875,0.0,0.1220703125,0.0,5.829626373626155,10.24083028083021,-0.9056312576317396,1687593787.864889
1277,1,1,19,27,10,-0.00439453125,-0.009765625,1.00634765625,0.244140625,0.42724609375,0.0,-10.663658119658336,8.741440781440701,5.091926739926237,1687593787.865889
1278,1,1,19,37,10,0.00048828125,-0.00146484375,1.02294921875,0.18310546875,0.42724609375,-0.18310546875,-0.16793162393184247,-6.252454212454268,8.090705738705196,1687593787.8839157
1279,1,1,19,47,10,-0.00341796875,0.00048828125,1.021484375,0.244140625,0.3662109375,0.06103515625,-4.666100122100339,5.742661782661685,9.590095238094705,1687593787.897926
1280,1,1,19,57,10,0.00927734375,-0.0146484375,1.00634765625,0.0,0.244140625,-0.06103515625,4.330236874236661,-13.749401709401809,-8.402578754579281,1687593787.8988876
1281,1,1,19,67,10,0.01416015625,-0.0146484375,1.01025390625,0.0,0.42724609375,0.0,-0.16793162393184247,1.2444932844932168,-12.900747252747806,1687593787.9108877
